Description,Total,Dem,Rep,Other (Not DEM or REP)
Registration,369876,166554,82065,121258
6/11/25,22433,10240,7449,4744
6/12/25,31209,14419,10095,6695
6/14/25,33960,15794,10872,7294
6/16/25,36596,17105,11687,7804
6/17/25,39690,18541,12660,8489
6/18/25,42475,19894,13518,9063
6/20/25,44845,21088,14165,9592
6/23/25,46803,21993,14793,10017
6/24/25,50674,23763,16127,10784
6/25/25,53928,25138,17338,11452
